name,stars,address,cadena,tarifa,price,hotel_url,destino
E Sagua,4,"CL Carmen Ribalta entre Clara Balton y Marti, S/N VILLA CLARA",Cubanacan,Alojamiento y desayuno,"USD42,00",,Villa Clara
E Barcelona,4,"José Antonio Peña #41/Maceo y La Pastora,Remedios, Villa Clara, Cuba. VILLA CLARA",Cubanacan,Alojamiento y desayuno,"USD44,00",,Villa Clara
E Central Villa Clara,4,"CL Calle Parque e/ Padre Chao y Marta Abreus Reparto Pastora, S/N Santa Clara",Cubanacan,Alojamiento y desayuno,"USD44,00",,Villa Clara
Hanabanilla,3,"LG El Salto, S/N Santa Clara",Islazul,Alojamiento y desayuno,"USD46,00",,Villa Clara
Cubanacan América,3,"CL Maceo y Colón, S/N VILLA CLARA",Cubanacan,Alojamiento y desayuno,"USD50,00",,Villa Clara
Floreale,4,"CL Rafael Trist, entre parque Vidal y Villuendas, 4 Santa Clara",Islazul,Alojamiento y desayuno,"USD51,00",,Villa Clara
Sol Cayo Santa María,4,Cayo Santa María Villa Clara,Meliá,All inclusive,"USD77,34",,Villa Clara
Meliá Cayo Santa María,5,Cayo Santa María - Jardines del Rey Villa Clara,Meliá,All inclusive,"USD106,01",,Villa Clara
Meliá Buenavista,5,"Cuba, No 6 Cayo Santa María - Villa Clara Villa Clara",Meliá,All inclusive,"USD172,90",,Villa Clara
Paradisus Los Cayos,5,"Cayo Santa María, km 48, Jardines del Rey, Caibarién Villa Clara",Meliá,All inclusive,"USD182,71",,Villa Clara
Meliá Las Dunas,5,"Cayo Santa María, Jardines del Rey Villa Clara",Meliá,,No disponible,,Villa Clara
Iberostar Selection Ensenachos,5,Cayo Ensenachos Villa Clara,Iberostar,,No disponible,,Villa Clara
Horizontes Los Caneyes,3,"AV Los Eucaliptos y Circunvalación, S/N Santa Clara",Cubanacan,Alojamiento y desayuno,"USD40,00",,Santa Maria
Horizontes La Granjita,3,"CR Carretera de Malezas, Km.2 ½, Santa Clara, Villa Clara, S/N Santa Clara",Cubanacan,Alojamiento y desayuno,"USD40,00",,Santa Maria
E Sagua,4,"CL Carmen Ribalta entre Clara Balton y Marti, S/N VILLA CLARA",Cubanacan,Alojamiento y desayuno,"USD42,00",,Santa Maria
